SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
89,SEZ,ABIA,OBINGWA,ABAYI 1,ABAYI I,OSUSU AMAUKWA,,,,,,,
90,SEZ,ABIA,OBINGWA,ABAYI 11 ,ABAYI II,EHERE,,,,,,,
91,SEZ,ABIA,OBINGWA,AHIABA,AHIABA,UMUAGU PHC,,,,,,,
92,SEZ,ABIA,OBINGWA,AKUMAIMO,AKUMAIMO,AKUMAIMO PHC,,,,,,,
93,SEZ,ABIA,OBINGWA,ALAUKWU OHANZE,ALAUKWU OHANZE,OHANZE PHC,,,,,,,
94,SEZ,ABIA,OBINGWA,IBEME,IBEME,ABALA PHC,,,,,,,
95,SEZ,ABIA,OBINGWA,MGBOKO AMAIRI,MABOKO AMAIRI,MGBOKO AMAIRI PHC,,,,,,,
96,SEZ,ABIA,OBINGWA,MGBOKO ITUN GWA,MGBOKO ITUNGWA,ITUNGWA,,,,,,,
97,SEZ,ABIA,OBINGWA,MGBOKO- UMUANUNU,MGBOKO UMUANUNU,MGBOKO OKENGWA,,,,,,,
98,SEZ,ABIA,OBINGWA,NDIAKATA/AMAIRINABUA,NDIARATA / AMAIRINABUA,NDIAKATA PHC,,,,,,,
99,SEZ,ABIA,OBINGWA,NTIGHAUZO AMAIRI ,NTIGHAUZO AMAIRI,MBANO NTIGHAUZOR,,,,,,,
100,SEZ,ABIA,OHAFIA,AGBOJI ABIRIBA,AGBOJI ABIRIBA,AGBOJI,,,,,,,
101,SEZ,ABIA,OHAFIA,AMAEKE ABIRIBA,AMAEKE ABIRIBA,EKPANKUMA PHC,,,,,,,
102,SEZ,ABIA,OHAFIA,AMAOGUDU ABIRIBA,AMAOGUDU ABIRIBA,AMOGUDU PHC,,,,,,,
103,SEZ,ABIA,OHAFIA,ANIA OHAFIA,ANIA OHAFIA,ABIA HC,,,,,,,
104,SEZ,ABIA,OHAFIA,EBEM OHAFIA,EBEMOHA,EZIUKWU PHC,,,,,,,
105,SEZ,ABIA,OHAFIA,ISIAMA OHAFIA,ISIAMA OHAFIA,ISIAMA PHC,,,,,,,
106,SEZ,ABIA,OHAFIA,NDI AGBO NKPORO,NDI AGBO NKPORO,BASIC H/C,,,,,,,
107,SEZ,ABIA,OHAFIA,NDI ELU NKPORO,NDI ELU NKPORO,ETITIAMA PHC,,,,,,,
108,SEZ,ABIA,OHAFIA,NDI ETITI NKPORO ,NDI ETITI NKPORO,NKPORO PHC,,,,,,,
109,SEZ,ABIA,OHAFIA,OHAFOR OHAFIA,OHAFOR OHOAFIA,ASAGA MODEL HC,,,,,,,
110,SEZ,ABIA,OHAFIA,OKAMU OHAFIA,OKANU OHAFIA,OKON -AKU PHC,,,,,,,
111,SEZ,ABIA,OSISIOMA,AMA-ASAA,AMA - ASAA,UMUOBASI PHC,,,,,,,
112,SEZ,ABIA,OSISIOMA,AMAITOLU-MBUTU UMUOJIMA,AMAITOLU MBUTU UMUOJIMA,ABAYI ARIARIA HP,,,,,,,
113,SEZ,ABIA,OSISIOMA,AMASATOR,AMASATOR,UMUOCHAM PHC,,,,,,,
114,SEZ,ABIA,OSISIOMA,AMATOR,AMATOR,UMUOYORO PHC,,,,,,,
115,SEZ,ABIA,OSISIOMA,AMAVO,AMAVO,AMAVO TANK PHC,,,,,,,
116,SEZ,ABIA,OSISIOMA,ARO-NGWA,ARO - NGWA,EKEARO PHC,,,,,,,
117,SEZ,ABIA,OSISIOMA,OKPU-UMUOBO,OKPOR - UMUOBO,OKPU UMUOBO PHC,,,,,,,
118,SEZ,ABIA,OSISIOMA,OSO-OKWA,OSO - OKWA,OSOKWA PHC,,,,,,,
119,SEZ,ABIA,OSISIOMA,UMUNNEISE,UMUNNEISE,OKPUALOR UMUGWUOR,,,,,,,
120,SEZ,ABIA,OSISIOMA,URATTA,URTTA,LGA HEALTH OFFICE (HEALTH POST),,,,,,,
121,SEZ,ABIA,UGWUNAGBO,EIGHT,WARD EIGHT,UMUGO,,,,,,,
122,SEZ,ABIA,UGWUNAGBO,FIVE,WARD FIVE,UKEBE,,,,,,,
123,SEZ,ABIA,UGWUNAGBO,FOUR,WARD FOUR,AZA PHC,,,,,,,
124,SEZ,ABIA,UGWUNAGBO,NINE,WARD NINE,IHIE UKWU,,,,,,,
125,SEZ,ABIA,UGWUNAGBO,ONE,WARD ONE,OBEGU PHC,,,,,,,
126,SEZ,ABIA,UGWUNAGBO,SEVEN,WARD SEVEN,ASA UMUNKA PHC,,,,,,,
