SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
3416,SEZ,IMO,OKIGWE,AKU,AKU,AKU-PHC,,,,,,,
3417,SEZ,IMO,OKIGWE,AMURO,AMURO,AMURO-PHC,,,,,,,
3418,SEZ,IMO,OKIGWE,EZINACHI,EZINACHI II,EZINACHI PHC,,,,,,,
3419,SEZ,IMO,OKIGWE,IHUBE,IHUBE-11,IHUBE-PHC,,,,,,,
3420,SEZ,IMO,OKIGWE,NDIMOKO / IBINTA,UMUOWAIBU,UMUOWAIBU 1 PHC,,,,,,,
3421,SEZ,IMO,OKIGWE,OGI I,OGII,OGII PHC,,,,,,,
3422,SEZ,IMO,OKIGWE,OKIGWE URBAN I,OK-URB-1,ARO OKIGWE MCH,,,,,,,
3423,SEZ,IMO,OKIGWE,OKIGWE URBAN I,OKIGWE UBRAN III,ARO OKIGWE PHC,,,,,,,
3424,SEZ,IMO,OKIGWE,UMUALUMOKE,UMUALUMOKE,UMUALUMOKE-PHC,,,,,,,
3425,SEZ,IMO,OKIGWE,UMULOLO,UMULOLO,NDINDUBUISI-PHC,,,,,,,
3426,SEZ,IMO,ONUIMO,ABOH / OKOMIA,ABOH WARD,ABOH PRIMARY HEALTH CENTERX,,,,,,,
3427,SEZ,IMO,ONUIMO,EZELU,EZELU,OKOHIA PHC,,,,,,,
3428,SEZ,IMO,ONUIMO,EZIAMA,EZIAMA,OKWE PHC,,,,,,,
3429,SEZ,IMO,ONUIMO,OFEAHIA,OFEAHIA,UMUDURU PHC,,,,,,,
3430,SEZ,IMO,ONUIMO,OKWELLE I,OKWELLE-1,OKWELLE PHC,,,,,,,
3431,SEZ,IMO,ONUIMO,OKWELLE II,OKWELLE-3,UMOKO PHC,,,,,,,
3432,SEZ,IMO,ONUIMO,OWERE - OKWE,OWERRE-OKWE,MCH OKWE,,,,,,,
3433,SEZ,IMO,ONUIMO,OZIMO / UMUANUMEZE,OZIMO / UMUANUMEZE,UWAKONYE PHC,,,,,,,
3434,SEZ,IMO,ONUIMO,UMUCHEKE,UMUCHEKE,UMUCHEKE PHC,,,,,,,
3435,SEZ,IMO,ONUIMO,UMUNA,EZUHU/OKOHIA,UMUNA PHC,,,,,,,
3436,SEZ,IMO,ORLU,AMAITFEKE,AMAIFEKE-EZIOHA,EZIOHA-AMAIFEKE-PHC,,,,,,,
3437,SEZ,IMO,ORLU,EBENESE / UMUEZE,EBENESE/UMUEZE,IHIOMA HEALTH CENTRE,,,,,,,
3438,SEZ,IMO,ORLU,EZIACHI / AMAIKE,AMIKE/EZIACHI,AMIKE-PHC,,,,,,,
3439,SEZ,IMO,ORLU,IHTTEEOWERRE,IHITEOWERE,IHITEOWERRE PHC,,,,,,,
3440,SEZ,IMO,ORLU,OGBERURU / OBIBI,OBIBIOCHASI/OGBERURU,ACHARABA PHC,,,,,,,
3441,SEZ,IMO,ORLU,OHAEKE / OKPOLO,OHAEKE-OKPORO,OHAEKE PHC,,,,,,,
3442,SEZ,IMO,ORLU,OHAFOR / OKPOLO,AMANATOR/OBINUGWU,AMANATOR-PHC,,,,,,,
3443,SEZ,IMO,ORLU,OHAFOR / OKPOLO,OHAFOR-OKPORO,OKPORO OHAFOR PHC,,,,,,,
3444,SEZ,IMO,ORLU,OKWUABALA / IHIOMA,OKWUABALA,OKWUABALA PHC,,,,,,,
3445,SEZ,IMO,ORLU,ORLU / MGBEE / GOV'T STATION,ORLU-TOWN,NDIOWERRE PHC,,,,,,,
3446,SEZ,IMO,ORLU,OWERRE / EBEIRI,OWERE-EBEIRI,OWERRE EBEIRI PHC,,,,,,,
3447,SEZ,IMO,ORLU,UMUDIOKA,UMUDIOKA,UMUDIOKA PHC,,,,,,,
3448,SEZ,IMO,ORLU,UMUNA,UMUNA,GOVT. STATION PHC,,,,,,,
3449,SEZ,IMO,ORLU,UMUZIKE / UMUOWA,UMUZIKE,UMUZIKE PHC,,,,,,,
3450,SEZ,IMO,ORSU,AMARURU,AMARURU,AMARURU PHC,,,,,,,
3451,SEZ,IMO,ORSU,ASSAH UBIRI ELEM,ASSAH-UBIRIELEM,UMUOKA PHC,,,,,,,
3452,SEZ,IMO,ORSU,EBENATOR,AMANACHI,AMANACHI PHC,,,,,,,
3453,SEZ,IMO,ORSU,EZIAWA,EZIAWA,EZIAWA,,,,,,,
3454,SEZ,IMO,ORSU,IHITENANSA,IHITENASA1,IHITENASA PHC,,,,,,,
3455,SEZ,IMO,ORSU,OKIOUAMARAHIE I,OKWUAMARAIHE-I,AKWAORJI-H/P,,,,,,,
3456,SEZ,IMO,ORSU,OKWUAMARAHIE II,OKWUAMARAIHE II,COMMUNITY HEALTH CENTRE AMAEKE OKWUAMARAIHE II,,,,,,,
3457,SEZ,IMO,ORSU,OKWUETITI,ORSU-I,ETITI ORSU H. CLINIC,,,,,,,
3458,SEZ,IMO,ORSU,OKWUFURUAKU,OKWUFURUAKU,UBAHAEZEDEKE PHC,,,,,,,
3459,SEZ,IMO,ORSU,ORSU IHITEUKWA,ORSU-II,TULI,,,,,,,
3460,SEZ,IMO,ORSU,UMUHU OKAKABIA,UMUHUOKABIA,NWANYIMMA HEALTH CENTER,,,,,,,
3461,SEZ,IMO,ORU-EAST,AKATTA,AKATTA 1,AKATTA 1 PHC,,,,,,,
3462,SEZ,IMO,ORU-EAST,AKUMA,AKUMA,AKUMA II (PHC),,,,,,,
3463,SEZ,IMO,ORU-EAST,AMAGU,AMAGU,AMAGU (PHC),,,,,,,
3464,SEZ,IMO,ORU-EAST,AMIRI I,AMIRI-I,AMIRI (PHC),,,,,,,
3465,SEZ,IMO,ORU-EAST,AMIRI II,AMIRI-II,NCHOKO AMIRI 11 HEALTH CENTER,,,,,,,
3466,SEZ,IMO,ORU-EAST,AWO - OMAMMA I,AWO-I,ISIEKE (PHC),,,,,,,
3467,SEZ,IMO,ORU-EAST,AWO - OMAMMA II,AWO - OMAMMA II,UMUEZIKE (MDG),,,,,,,
3468,SEZ,IMO,ORU-EAST,AWO - OMAMMA III,AWO - OMAMMA III,UMUOKWE (PHC),,,,,,,
3469,SEZ,IMO,ORU-EAST,AWO - OMAMMA IV,AWO-IV,UBOGWU (PHC),,,,,,,
3470,SEZ,IMO,ORU-EAST,OMUMA,OMUMA,OZUH H.C.,,,,,,,
3471,SEZ,IMO,ORU-WEST,AJI,AJI,AJI PHC,,,,,,,
3472,SEZ,IMO,ORU-WEST,AMAOFUO,AMAFUO,AMAFUO BASIC HEALTH CENTER,,,,,,,
3473,SEZ,IMO,ORU-WEST,IBIASOEGBE,IBIASOEGBE,IBIASOEGBE HEALTH CENTER,,,,,,,
3474,SEZ,IMO,ORU-WEST,MGBIDI  I,MGBIDI-I,UZINUMU PHC,,,,,,,
3475,SEZ,IMO,ORU-WEST,MGBIDI II,MGBIDI-II,UGBELE-PHC,,,,,,,
3476,SEZ,IMO,ORU-WEST,NEMPI / ELEM,NEMPI,NEMPI HEALTH CENTER,,,,,,,
3477,SEZ,IMO,ORU-WEST,OHAKPU,OHAKPU,OHAKPU HEALTH CENTER,,,,,,,
3478,SEZ,IMO,ORU-WEST,OTULU,OTULU,OTULU-HEALTH-CENTER,,,,,,,
3479,SEZ,IMO,ORU-WEST,OZARA,OZARA,OZARA HEALTH CENTER,,,,,,,
3480,SEZ,IMO,ORU-WEST,UBULU,UBULU I,UBULU HEALTH CENTER,,,,,,,
3481,SEZ,IMO,OWERRI NORTH,AGBALA/OBUBE/ULUAKWO,AGBALA/OBUBU/ULAKWO,ULAKWO PHC,,,,,,,
3482,SEZ,IMO,OWERRI NORTH,AWAKA/IHITTE-OGADA,AWAKA/IHITTE OGADA,IHITTE OGADA PHC,,,,,,,
3483,SEZ,IMO,OWERRI NORTH,EGBU,EGBU,EGBU PHC,,,,,,,
3484,SEZ,IMO,OWERRI NORTH,EMEKUKU I,EMEKUKU-1,OKU EMEKE HEALTH CENTRE,,,,,,,
3485,SEZ,IMO,OWERRI NORTH,EMEKUKU II,EMEKUKU-2,UBOEGBULE-H/CENTER,,,,,,,
3486,SEZ,IMO,OWERRI NORTH,EMII I,EMII-1,EMII PHC,,,,,,,
3487,SEZ,IMO,OWERRI NORTH,IBIBI - URATTA II,OBIBI-11,EKEOBI-H/C,,,,,,,
3488,SEZ,IMO,OWERRI NORTH,IHITA - OHA,IHITA-OHA,AKWAKUMA H.C.,,,,,,,
3489,SEZ,IMO,OWERRI NORTH,NAZE,NAZE,NAZE-PHC,,,,,,,
3490,SEZ,IMO,OWERRI NORTH,OBIBI - URATTA I,OBIBI-1,UMUORII PHC,,,,,,,
3491,SEZ,IMO,OWERRI NORTH,OBIBI - URATTA I,OBIBI-1,OKWU URATA HEALTH CENTE,,,,,,,
3492,SEZ,IMO,OWERRI NORTH,OBIBIEZENA,OBIBIEZENA,OBIBIEZENA H/C,,,,,,,
3493,SEZ,IMO,OWERRI NORTH,ORJI,ORJI,UMUNDULA PHC,,,,,,,
3494,,IMO,OWERRI MUNICIPAL,AZUZI II,AZUZI II,UMUIHUA HEALTH CENTRE,,,,,,,
3495,SEZ,IMO,OWERRI-MUNICIPAL,AZUZI III,AZUZII-III,WATERSIDE-HEALTH-CLINIC,,,,,,,
3496,SEZ,IMO,OWERRI-MUNICIPAL,AZUZI IV,AZUZII-IV,UMUODU-UMUIHUGBA-HEALTH-C,,,,,,,
3497,SEZ,IMO,OWERRI-MUNICIPAL,IKENEGBU I,IKENEGBU 3,STAFF CLINIC OWERRI MUNICIPAL COUNCIL,,,,,,,
3498,SEZ,IMO,OWERRI-MUNICIPAL,NEW OWERRI I,NEW-OWERRI-1,AREA-M-COMPREHENSIVE-H/CENTRE,,,,,,,
3499,SEZ,IMO,OWERRI-MUNICIPAL,NEW OWERRI II,NEW-OWERRI-11,AREA L' PHC,,,,,,,
3500,SEZ,IMO,OWERRI-WEST, AVU / OFOROLA,OFOROLA,OFOROLA-PHC,,,,,,,
3501,SEZ,IMO,OWERRI-WEST, AVU / OFOROLA,AVU,AVU PHC,,,,,,,
3502,SEZ,IMO,OWERRI-WEST,AMAKOHIA - UBI / NDEGWU/OHI,AMAKOHIA-UBII/NDEGWU,AMAKOHIA UBI PHC,,,,,,,
3503,SEZ,IMO,OWERRI-WEST,EMEABIAM OKOLOCHI,EMEABIAM,EMEABIAM PHC,,,,,,,
3504,SEZ,IMO,OWERRI-WEST,EZIOBODO,EZIOBODO,EZIOBODO-PHC,,,,,,,
3505,SEZ,IMO,OWERRI-WEST,IHIAGWA,IHIAGWA,DINDIN IHIAGWA PHC,,,,,,,
3506,SEZ,IMO,OWERRI-WEST,IRETE / OROGWE,IRETTE,IRETTE PHC,,,,,,,
3507,SEZ,IMO,OWERRI-WEST,IRETE / OROGWE,OROGWE/OHII,OROGWE PHC,,,,,,,
3508,SEZ,IMO,OWERRI-WEST,NEKEDE,NEKEDE-I,NEKEDE I PHC,,,,,,,
3509,SEZ,IMO,OWERRI-WEST,NEKEDE,NEKEDE-II,NEKEDE-II-PHC,,,,,,,
3510,SEZ,IMO,OWERRI-WEST,OBINZE,OBINZE,OBINZE PHC,,,,,,,
3511,SEZ,IMO,OWERRI-WEST,OKUKU,OKUKU,OKUKU PHC,,,,,,,
3512,SEZ,IMO,OWERRI-WEST,UMUGUMA,UMUGUMA,UMUGUMA PHC,,,,,,,
3513,SEZ,IMO,OHAJI-EGBEMA,EGBEMA-F,EGBEMA-F,ABACHEKE-PHC,,,,,,,
3514,NWZ,JIGAWA,AUYO,AUYAKAYI,AUYAKAYI,AUYAKAYI PHC,,,,,,,
3515,NWZ,JIGAWA,AUYO,AUYO,AUYO,AUYO PHC,,,,,,,
3516,NWZ,JIGAWA,AUYO,AYAMA,AYAMA,AYAMA PHC,,,,,,,
3517,NWZ,JIGAWA,AUYO,AYAN,AYAN,AYAN PHC,,,,,,,
3518,NWZ,JIGAWA,AUYO,GAMAFOI,GAMAFOI,GAMAFOI PHCC,,,,,,,
3519,NWZ,JIGAWA,AUYO,GAMSARKA,GAMSARKA,KALGWAI PHC,,,,,,,
3520,NWZ,JIGAWA,AUYO,GATAFA,GATAFA,GATAFA PHC,,,,,,,
3521,NWZ,JIGAWA,AUYO,KAFUR,KAFUR,KAFUR PHC,,,,,,,
3522,NWZ,JIGAWA,AUYO,TSIDIR,TSIDIR,TSIDIR PHC,,,,,,,
3523,NWZ,JIGAWA,AUYO,UNIK,UNIK,SHINGE GABAS PHC,,,,,,,
3524,NWZ,JIGAWA,BABURA,BABURA,BABURA,JARMAI PHC,,,,,,,
3525,,JIGAWA,BABURA,JIGAWA,Jigawa,Jigawa MPHC,,,,,,,
3526,NWZ,JIGAWA,BABURA,BATALI,BATALI,BATALI PHC,,,,,,,
3527,NWZ,JIGAWA,BABURA,DORAWA,DORAWA,DORAWA PHC,,,,,,,
3528,NWZ,JIGAWA,BABURA,GARU,GARU,GARU PHC,,,,,,,
3529,NWZ,JIGAWA,BABURA,GASAKOLI,GASAKOLI,GASAKOLI PHC,,,,,,,
3530,NWZ,JIGAWA,BABURA,INSHARUWA,INSHARUWA,INSHARUWA PHC,,,,,,,
3531,NWZ,JIGAWA,BABURA,KANYA,KANYA,KANYA PHC,,,,,,,
3532,NWZ,JIGAWA,BABURA,KAZUNZUMI,KUZUNZUMI,KUZUNZUMI PHC,,,,,,,
3533,NWZ,JIGAWA,BABURA,KYAMBO,KYAMBO,KYAMBO PHC,,,,,,,
3534,NWZ,JIGAWA,BABURA,TAKWASA,TAKWASA,TAKWASA PHC,,,,,,,
3535,NWZ,JIGAWA,BIRNIN KUDU,BIRIN-KUDU,BIRNIN KUDU,MAGAJIN GARI PHC,,,,,,,
3536,NWZ,JIGAWA,BIRNIN KUDU,KANGIRE,KANGIRE,KANGIRE PHC,,,,,,,
3537,NWZ,JIGAWA,BIRNIN KUDU,KANTOGA,KANTOGA,KANTOGA PHC,,,,,,,
3538,NWZ,JIGAWA,BIRNIN KUDU,KIYAKO,CHIYAKO,BAMAINA PHC,,,,,,,
3539,NWZ,JIGAWA,BIRNIN KUDU,KWANGWARA,KWANGWARA,KWANGWARA PHC,,,,,,,
3540,NWZ,JIGAWA,BIRNIN KUDU,LAFIYA,LAFIYA,LAFIYA PHC,,,,,,,
3541,NWZ,JIGAWA,BIRNIN KUDU,SUNDUMINA,SUNDUMINA,SUNDUMINA,,,,,,,
3542,NWZ,JIGAWA,BIRNIN KUDU,SURKO,SURKO,BADUNGU PHC,,,,,,,
3543,NWZ,JIGAWA,BIRNIN KUDU,UNGUWAR'YA,UNGUWAR YA',UNGUWAR 'YA PHC,,,,,,,
3544,NWZ,JIGAWA,BIRNIN KUDU,WURNO,WURNO,WURNO PHC,,,,,,,
3545,NWZ,JIGAWA,BIRNIN KUDU,YALWAN DAMAI,Y/DAMAI,YALWAN DAMAI PHC,,,,,,,
3546,NWZ,JIGAWA,BIRNIWA,BATU,BATU,KUKA INKIWA PHC,,,,,,,
3547,NWZ,JIGAWA,BIRNIWA,BIRNIWA,BIRNIWA,BIRNIWA TASHA PHC,,,,,,,
3548,NWZ,JIGAWA,BIRNIWA,DANGWALERI,DANGWALERI,KUBUNA PHC,,,,,,,
3549,NWZ,JIGAWA,BIRNIWA,DIGINSA,DIGINSA,DIGINSA PHC,,,,,,,
3550,NWZ,JIGAWA,BIRNIWA,FAGI,FAGI,FAGI PHC,,,,,,,
3551,NWZ,JIGAWA,BIRNIWA,KACHALLARI,KACHALLARI,KACHALLARI PHC,,,,,,,
3552,NWZ,JIGAWA,BIRNIWA,KARANKA,KARANGA,KARANGA PHC,,,,,,,
3553,NWZ,JIGAWA,BIRNIWA,KAZURA,KAZURA,KAZURA PHC,,,,,,,
3554,NWZ,JIGAWA,BIRNIWA,MACHINAMARI,MACHINAMARI,KUPSA PHC,,,,,,,
3555,NWZ,JIGAWA,BIRNIWA,MATAMU,MATAMU,MATAMU PHC,,,,,,,
3556,NWZ,JIGAWA,BIRNIWA,NGUWA,NGUWA,NGUWA PHC,,,,,,,
3557,NWZ,JIGAWA,BUJI,AHOTO,AHOTO,AHOTO PHC,,,,,,,
3558,NWZ,JIGAWA,BUJI,BUJI,BUJI,BUJI PHC,,,,,,,
3559,NWZ,JIGAWA,BUJI,CHIRBIN,CHIRBIN,CHIRBIN PHC,,,,,,,
3560,NWZ,JIGAWA,BUJI,FALAGERI,FALGERI,FALGERI PHC,,,,,,,
3561,NWZ,JIGAWA,BUJI,GANTSA,GANTSA,GANTSA PHC,,,,,,,
3562,NWZ,JIGAWA,BUJI,KAWAYA,KAWAYA,KAWAY PHC,,,,,,,
3563,NWZ,JIGAWA,BUJI,K-LELAN KUDU,LELEN KUDU,LELEN KUDU PHC,,,,,,,
3564,NWZ,JIGAWA,BUJI,KUKUMA,KUKUMA,KUKUMA PHC,,,,,,,
3565,NWZ,JIGAWA,BUJI,MADABE,MADABE,MADABE PHC,,,,,,,
3566,NWZ,JIGAWA,BUJI,YAYARIN TUKUR,Y/TUKUR,YAYARIN TUKUR PHC,,,,,,,
3567,NWZ,JIGAWA,DUTSE,ABAYA,ABAYA,ABAYA PHC,,,,,,,
3568,NWZ,JIGAWA,DUTSE,CHAMO,CHAMO,CHAMO PHC,,,,,,,
3569,NWZ,JIGAWA,DUTSE,DUNDUBUS,DUNDUBUS,DUNDUBUS PHC,,,,,,,
3570,NWZ,JIGAWA,DUTSE,DURU,DURU,DURU PHC,,,,,,,
3571,NWZ,JIGAWA,DUTSE,JIGAWA TSADA,J/TSADA,JAUDI PHC,,,,,,,
3572,NWZ,JIGAWA,DUTSE,KACHI,KACHI,KACHI PHC,,,,,,,
3573,NWZ,JIGAWA,DUTSE,KARNAYA,KARNAYA,WURMA PHC,,,,,,,
3574,NWZ,JIGAWA,DUTSE,KUDAI,KUDAI,KUDAI PHC,,,,,,,
3575,NWZ,JIGAWA,DUTSE,LIMAWA,LIMAWA,YINA PHC,,,,,,,
3576,NWZ,JIGAWA,DUTSE,MADOBI,MADOBI,MADOBI PHC,,,,,,,
3577,NWZ,JIGAWA,DUTSE,SAKWAYA,SAKWAYA,SAKWAYA PHC,,,,,,,
3578,NWZ,JIGAWA,GAGARAWA,GAGARAWA GARI,GGW/GARI,GAGARAWA GARI PHC,,,,,,,
3579,NWZ,JIGAWA,GAGARAWA,GAGARAWA TASHA,GAGARAWA,GAGARAWA TASHA PHC,,,,,,,
3580,NWZ,JIGAWA,GAGARAWA,GARIN CHIROMA,G/CHIROMA,GARIN CHIROMA PHC,,,,,,,
3581,NWZ,JIGAWA,GAGARAWA,KORE BALATU,KORE BALATU,KORE BALATU PHC,,,,,,,
3582,NWZ,JIGAWA,GAGARAWA,MADAKA,MADAKA,MADAKA PHC,,,,,,,
3583,NWZ,JIGAWA,GAGARAWA,MAI'ADUA,MAI'ADUWA,MAI ADUWA PHC,,,,,,,
3584,NWZ,JIGAWA,GAGARAWA,MAIKILILI,MAIKILILI,MAIKILILI PHC,,,,,,,
3585,NWZ,JIGAWA,GAGARAWA,MEDU,MEDU,MEDU PHC,,,,,,,
3586,NWZ,JIGAWA,GAGARAWA,YALAWA,YALAWA,YALAWA PHC,,,,,,,
3587,NWZ,JIGAWA,GAGARAWA,ZARADA,ZARADA,ZARADA PHC,,,,,,,
3588,NWZ,JIGAWA,GARKI,BUDURU,BUDURU,BUDURU PHC,,,,,,,
3589,NWZ,JIGAWA,GARKI,DOKO,DOKO,DOKO PHC,,,,,,,
3590,NWZ,JIGAWA,GARKI,GARKI,GARKI,GARKI PHC,,,,,,,
3591,NWZ,JIGAWA,GARKI,GWARZON GARKI,GWARZO,GWARZO PHC,,,,,,,
3592,NWZ,JIGAWA,GARKI,JIRIMA,JIRIMA,SUGUNGUM PHC,,,,,,,
3593,NWZ,JIGAWA,GARKI,KANYA,KANYA,KANYA PHC,,,,,,,
3594,NWZ,JIGAWA,GARKI,KARTGO,KARGO,KARGO PHC,,,,,,,
3595,NWZ,JIGAWA,GARKI,KORE,KORE,KORE PHC,,,,,,,
3596,NWZ,JIGAWA,GARKI,MUKU,MUKU,MUKU PHC,,,,,,,
3597,NWZ,JIGAWA,GARKI,RAFIN MARKE,R/MARKE,R/MARKE PHC,,,,,,,
3598,NWZ,JIGAWA,GARKI,SIYORI,SAYORI,SAYORI PHC,,,,,,,
3599,NWZ,JIGAWA,GUMEL,BAIKARYA,BEKARYA,BEKARYA PHC,,,,,,,
3600,NWZ,JIGAWA,GUMEL,DAN'AMA,DAN AMA,DAN AMA PHC,,,,,,,
3601,NWZ,JIGAWA,GUMEL,DANTANOMA,DANTANOMA,MAYANKA PHC,,,,,,,
3602,NWZ,JIGAWA,GUMEL,GALAGAMMA,GALAGAMMA,DAURAWA PHC,,,,,,,
3603,NWZ,JIGAWA,GUMEL,GARIN BARKA,ALHAJI BARKA,DUHUWA PHC,,,,,,,
3604,NWZ,JIGAWA,GUMEL,GARIN GAMBO,GARIN GAMBO,GARIN GAMBO PHC,,,,,,,
3605,NWZ,JIGAWA,GUMEL,GUSAU,GUSAU,GUSAU PHC,,,,,,,
3606,,JIGAWA,GUMEL,KOFA YAMMA,Kofar Yamma,Kofar Yamma PHC,,,,,,,
3607,,JIGAWA,GUMEL,KOFAR AREWA,Kofar Arewa ,Kofar Arewa PHC,,,,,,,
3608,NWZ,JIGAWA,GUMEL,HAMMADO,HAMMADO,HAMMADO PHC,,,,,,,
3609,NWZ,JIGAWA,GUMEL,ZANGO,ZANGO,ZANGO PHC,,,,,,,
3610,NWZ,JIGAWA,GURI,ABUNABO,ABUNABO,ABUNABO PHC,,,,,,,
3611,NWZ,JIGAWA,GURI,ADIYANI,ADIYANI,ADIYANI PHC,,,,,,,
3612,NWZ,JIGAWA,GURI,DAWA,DAWA,DAWA PHC,,,,,,,
3613,NWZ,JIGAWA,GURI,GARBAGAL,GARBAGAL,GARBAGAL PHCC,,,,,,,
3614,NWZ,JIGAWA,GURI,GURI,GURI,GURI PHC,,,,,,,
3615,NWZ,JIGAWA,GURI,KADIRA,KADIRA,KADIRA PHC,,,,,,,
3616,NWZ,JIGAWA,GURI,LAFIYA,LAFIYA,LAFIYA PHC,,,,,,,
3617,NWZ,JIGAWA,GURI,MARGADU,MARGADU,MARGADU PHC,,,,,,,
3618,NWZ,JIGAWA,GURI,MATARA BABBA,MATARA BABBA,ZUGO PHC,,,,,,,
3619,NWZ,JIGAWA,GURI,MUSARI,MUSARI,MUSARI PHC,,,,,,,
3620,NWZ,JIGAWA,GWARAM,BASIRKA,BASIRKA,BASIRKA PHC,,,,,,,
3621,NWZ,JIGAWA,GWARAM,DINGAYA,DINGAYA,RABADI PHC,,,,,,,
3622,NWZ,JIGAWA,GWARAM,FAGAM,FAGAM,FAGAM PHC,,,,,,,
3623,NWZ,JIGAWA,GWARAM,FARIN-DUTSE,FARIN DUTSE,GALAMBI PHC,,,,,,,
3624,NWZ,JIGAWA,GWARAM,GWARAM TSOHUWA,GWARAM,GWARAM PHC,,,,,,,
3625,NWZ,JIGAWA,GWARAM,KILA,KILA,KILA PHC,,,,,,,
3626,NWZ,JIGAWA,GWARAM,KWANDIKO,KWANDIKO,KONDIKO PHC,,,,,,,
3627,NWZ,JIGAWA,GWARAM,MARUTA,MARUTA,MARUTA PHC,,,,,,,
3628,NWZ,JIGAWA,GWARAM,SARA,SARA,SARA PHCC,,,,,,,
3629,NWZ,JIGAWA,GWARAM,TSANGAYA,TSANGARWA,TSANGARWA PHCC,,,,,,,
3630,NWZ,JIGAWA,GWARAM,ZANDAN-NAGOGO,ZANDAM NAGOGO,ZANDAM TAGABAS PHCC,,,,,,,
3631,NWZ,JIGAWA,GWIWA,BUNTUSU,BUNTUSU,BUNTUSU PHC,,,,,,,
3632,NWZ,JIGAWA,GWIWA,DABI,DABI,DABI PHC,,,,,,,
3633,NWZ,JIGAWA,GWIWA,DANRINA,DARINA,MARAGANTA PHC,,,,,,,
3634,NWZ,JIGAWA,GWIWA,FIRJI YAMMA,FIRJI,FIRJIN YAMMA PHC,,,,,,,
3635,NWZ,JIGAWA,GWIWA,GUNTAI,GUNTAI,INDIRAWA PHC,,,,,,,
3636,NWZ,JIGAWA,GWIWA,GWIWA,GWIWA,GWIWA PHC,,,,,,,
3637,NWZ,JIGAWA,GWIWA,KOKAYAL,KORAYAL,KORAYAL PHC,,,,,,,
3638,NWZ,JIGAWA,GWIWA,RORAU,RORAU,RORAU PHC,,,,,,,
3639,NWZ,JIGAWA,GWIWA,SHAFE,SHAFE,SHAFE PHC,,,,,,,
3640,NWZ,JIGAWA,GWIWA,YOLA,YOLA,YOLA PHC,,,,,,,
3641,NWZ,JIGAWA,GWIWA,ZAUMA,ZAUMA,ZAUMA PHC,,,,,,,
3642,NWZ,JIGAWA,HADEJIA,DUBANTU,DUBANTU,AGUMAU PHC,,,,,,,
3643,NWZ,JIGAWA,HADEJIA,GAGULMARI,GAGULMARI,K/AREWA MCH CLINIC,,,,,,,
3644,NWZ,JIGAWA,HADEJIA,MAJEMA,MAJEMA,MAJEMA PHC,,,,,,,
3645,NWZ,JIGAWA,HADEJIA,MATSARO,MATSARO,GAWUNA PHC,,,,,,,
3646,NWZ,JIGAWA,HADEJIA,RUMFA,RUMFA,BADERIN GABAS PHC,,,,,,,
3647,NWZ,JIGAWA,HADEJIA,SABON-GARI,S/GARU,GABARI PHC,,,,,,,
3648,NWZ,JIGAWA,HADEJIA,YANKOLI,YANKOLI,FANTAI BHC,,,,,,,
3649,NWZ,JIGAWA,JAHUN,AUJARA,0,AUJARA PRIMARY HEALTH CENTRE,,,,,,,
3650,NWZ,JIGAWA,JAHUN,GANGAWA,GANGAWA,KADAWAWA PHC,,,,,,,
3651,NWZ,JIGAWA,JAHUN,GAUZA-TAZARA,GAUZA,LAUTAI PHC,,,,,,,
3652,NWZ,JIGAWA,JAHUN,GUNKA,GUNKA,GUNKA PHCC,,,,,,,
3653,NWZ,JIGAWA,JAHUN,HARBO SABUWA,HARBO SABUWA,HARBO SABUWA PHC,,,,,,,
3654,NWZ,JIGAWA,JAHUN,HARBO TSOHUWA,HARBO TSOHUWA,HARBO TSOHUWA PHC,,,,,,,
3655,NWZ,JIGAWA,JAHUN,IDANDUNA,IDANDUNA,IDANDUNA PHC,,,,,,,
3656,NWZ,JIGAWA,JAHUN,JABARNA,JABARNA,JABARNA PHC,,,,,,,
3657,NWZ,JIGAWA,JAHUN,JTHUN,JAHUN,URBAN MATERNITY,,,,,,,
3658,NWZ,JIGAWA,JAHUN,KALE,KALE,KALE PHC,,,,,,,
3659,NWZ,JIGAWA,JAHUN,KANIWA,KANWA,KANWA PHC,,,,,,,
3660,NWZ,JIGAWA,KAFIN HAUSA,BULANGU,BULANGU,TUMINJIRA PHC,,,,,,,
3661,NWZ,JIGAWA,KAFIN HAUSA,DUMADUMIN TOKA,DUMADUMIN TOKA,DUMADUMIN TOKA PHC,,,,,,,
3662,NWZ,JIGAWA,KAFIN HAUSA,GAFAYA,GAFAYA,RAMFA PHC,,,,,,,
3663,NWZ,JIGAWA,KAFIN HAUSA,JABO,JABO,JABO PHC,,,,,,,
3664,NWZ,JIGAWA,KAFIN HAUSA,KAFIN HAUSA,K/HAUSA,KANZAN PHC,,,,,,,
3665,NWZ,JIGAWA,KAFIN HAUSA,KAZALEWA,KWAZALEWA,KWAZALEWA PHC,,,,,,,
3666,NWZ,JIGAWA,KAFIN HAUSA,MAJAWA,MAJAWA,SHAKATO PHC,,,,,,,
3667,NWZ,JIGAWA,KAFIN HAUSA,MEZAN,MEZAN,KWATALO PHC,,,,,,,
3668,NWZ,JIGAWA,KAFIN HAUSA,RUBA,RUBA,RUBA PHC,,,,,,,
3669,NWZ,JIGAWA,KAFIN HAUSA,SARAWA,SARAWA,SARAWA PHC,,,,,,,
